1;Hello;lcxnvlkncxlvkndkvnfdfdvnofdvnfvnovnfovnofnvofnvofvn;1;1;
2;cddscd;lcxnvlkncxlvkndkvnfdfdvnofdvnfvnovnfovnofnvofnvofvn;1;1;
3;dsfdsfdsf;sdfdsfdsfdsf;1;1;
4;dsfdsf;sdcdsfdfdsfsdf;1;1;
5;dsfdsfdsfds;sdfdsfkdsjflsjfkjdkfjdkfj;1;1;
6;Syrian war;There was a ships in the ocean.;2;2;2,3,4
7;Napoleon;Too heavy winter in Russia.;2;1;
8;Napoleon;Too heavy winter in Russia.;2;1;
9;dsfdsf;sdfsdfdsfdsfdsfdsf;3;1;1
10;sadsadsadsad;asdasdalsdlkds;4;1;
11;dasdsadsad;asdasdsadsadasdsa;5;1;
12;Alexander;cdsckdsjfkjdskjfkdsjkfjkdsf;2;1;
13;dsfdsf;sdfsdffdsf;6;1;
14;xzcxzcxzc;zxczxczcxzc;7;1;
15;dsafdsfdf;sdfdsfdsfdsf;8;1;
